soc,physical_level,MET,E_human_J_per_h
49-9091,2.86,2.7344999999999997,800880.36
49-9092,2.33,2.29725,672818.5800000001
49-9094,3.58,3.3285,974851.0800000001
49-9095,2.16,2.157,631742.16
49-9096,2.35,2.3137499999999998,677651.0999999999
49-9097,2.69,2.5942499999999997,759803.9399999998
49-9098,2.1,2.1075,617244.6
49-9099,3.54,3.2954999999999997,965186.0399999999
51-1011,3.73,3.45225,1011094.98
51-2011,3.06,2.8994999999999997,849205.5599999999
51-2021,2.42,2.3715,694564.92
51-2022,2.77,2.66025,779134.02
51-2023,2.98,2.8335,829875.48
51-2031,2.86,2.7344999999999997,800880.36
51-2041,2.47,2.41275,706646.22
51-2051,1.93,1.96725,576168.1799999999
51-2061,2.74,2.6355,771885.24
51-2092,2.88,2.751,805712.88
51-3011,2.36,2.322,680067.36
51-3021,2.5,2.4375,713895.0
51-3022,2.08,2.091,612412.0800000001
51-3023,1.5,1.6124999999999998,472268.99999999994
51-3091,3.38,3.1635,926525.88
51-3092,3.48,3.246,950688.48
51-3093,2.59,2.5117499999999997,735641.34
51-4021,3.05,2.89125,846789.2999999999
51-4022,3.16,2.9819999999999998,873368.1599999999
51-4023,3.21,3.02325,885449.46
51-4031,2.4,2.3549999999999995,689732.3999999999
51-4032,3.84,3.5429999999999997,1037673.84
51-4033,2.98,2.8335,829875.48
51-4034,4.0,3.675,1076334.0
51-4035,3.47,3.23775,948272.2200000001
51-4041,3.36,3.147,921693.36
51-4051,2.57,2.49525,730808.82
51-4052,2.66,2.5695,752555.16
51-4061,3.0,2.8499999999999996,834707.9999999999
51-4062,3.15,2.97375,870951.9
51-4071,1.7,1.7774999999999999,520594.19999999995
51-4072,2.59,2.5117499999999997,735641.34
51-4081,3.55,3.3037499999999995,967602.2999999998
51-4111,3.48,3.246,950688.48
51-4121,2.14,2.1405000000000003,626909.64
51-4122,2.62,2.5364999999999998,742890.1199999999
51-4191,3.3,3.0974999999999997,907195.7999999999
51-4192,2.18,2.1734999999999998,636574.6799999999
51-4193,2.11,2.11575,619660.86
51-4194,3.18,2.9985,878200.6799999999
51-5111,4.6,4.17,1221309.5999999999
51-5112,3.35,3.13875,919277.1
51-5113,2.83,2.70975,793631.5800000001
51-6011,1.99,2.01675,590665.7400000001
51-6021,2.06,2.0745,607579.56
51-6031,1.86,1.9095,559254.36
51-6041,2.36,2.322,680067.36
51-6042,2.97,2.82525,827459.2200000001
51-6051,2.53,2.4622499999999996,721143.7799999998
51-6052,1.4,1.5299999999999998,448106.3999999999
51-6061,2.99,2.84175,832291.7400000001
51-6062,3.05,2.89125,846789.2999999999
51-6063,2.61,2.52825,740473.86
51-6064,2.43,2.37975,696981.18
51-6091,2.67,2.57775,754971.4199999999
51-6092,3.73,3.45225,1011094.98
51-6093,2.29,2.2642499999999997,663153.5399999999
51-7011,1.88,1.926,564086.88
51-7021,2.55,2.47875,725976.2999999999
51-7031,2.1,2.1075,617244.6
51-7032,3.07,2.9077499999999996,851621.8199999998
51-7041,1.98,2.0084999999999997,588249.4799999999
51-7042,2.01,2.03325,595498.2599999999
51-8011,3.64,3.378,989348.64
51-8012,4.47,4.062749999999999,1189898.22
51-8013,3.2900000000000005,3.0892500000000003,904779.5400000002
51-8021,3.67,3.4027499999999997,996597.4199999998
51-8031,3.54,3.2954999999999997,965186.0399999999
51-8091,3.6,3.3449999999999998,979683.5999999999
51-8092,3.61,3.3532499999999996,982099.8599999999
51-8093,2.81,2.69325,788799.06
51-8099,3.72,3.444,1008678.72
51-9011,3.46,3.2295,945855.96
51-9012,3.18,2.9985,878200.6799999999
51-9021,3.02,2.8665,839540.52
51-9022,3.22,3.0315,887865.72
51-9023,2.54,2.4705,723560.04
51-9031,2.01,2.03325,595498.2599999999
51-9032,2.83,2.70975,793631.5800000001
51-9041,3.66,3.3945,994181.1599999999
51-9051,2.79,2.6767499999999997,783966.5399999999
51-9061,3.29,3.08925,904779.54
51-9071,2.5,2.4375,713895.0
51-9081,2.94,2.8005,820210.44
51-9082,2.59,2.5117499999999997,735641.34
51-9083,3.34,3.1304999999999996,916860.8399999999
51-9111,2.85,2.72625,798464.0999999999
51-9123,1.47,1.58775,465020.22
51-9124,2.59,2.5117499999999997,735641.34
51-9141,3.75,3.46875,1015927.5
51-9151,4.39,3.9967499999999996,1170568.14
51-9161,3.79,3.50175,1025592.54
51-9162,4.79,4.32675,1267218.54
51-9191,2.84,2.718,796047.84
51-9192,3.42,3.1965,936190.9199999999
51-9193,3.37,3.15525,924109.62
51-9194,3.44,3.2129999999999996,941023.4399999998
51-9195,2.725,2.623125,768260.85
51-9196,2.33,2.29725,672818.5800000001
51-9197,2.98,2.8335,829875.48
51-9198,2.62,2.5364999999999998,742890.1199999999
53-1041,3.86,3.5595,1042506.36
53-1042,4.135,3.7863749999999996,1108953.51
53-1043,3.96,3.642,1066668.96
53-2011,3.54,3.2954999999999997,965186.0399999999
53-2012,3.07,2.9077499999999996,851621.8199999998
53-2021,3.46,3.2295,945855.96
53-2022,3.77,3.4852499999999997,1020760.0199999999
53-2031,2.81,2.69325,788799.06
53-3011,3.09,2.92425,856454.34
53-3031,2.41,2.36325,692148.6599999999
53-3032,2.82,2.7015,791215.32
53-3033,2.17,2.16525,634158.4199999999
53-3051,1.83,1.88475,552005.5800000001
53-3052,2.48,2.421,709062.48
53-3053,2.83,2.70975,793631.5800000001
53-4011,2.32,2.2889999999999997,670402.32
53-4013,2.79,2.6767499999999997,783966.5399999999
53-4022,1.92,1.9589999999999999,573751.9199999999
53-4031,3.2,3.015,883033.2000000001
53-4041,2.16,2.157,631742.16
53-5011,2.28,2.256,660737.2799999999
53-5021,2.85,2.72625,798464.0999999999
53-5022,2.38,2.3385,684899.88
53-5031,2.79,2.6767499999999997,783966.5399999999
53-6011,2.63,2.5447499999999996,745306.3799999999
53-6021,2.16,2.157,631742.16
53-6031,2.41,2.36325,692148.6599999999
53-6041,3.98,3.6584999999999996,1071501.48
53-6051,3.2633333333333336,3.06725,898336.18
53-6061,1.39,1.52175,445690.13999999996
53-7011,2.64,2.553,747722.64
53-7021,2.49,2.42925,711478.7400000001
53-7031,1.57,1.67025,489182.82
53-7041,2.32,2.2889999999999997,670402.32
53-7051,3.28,3.0809999999999995,902363.2799999998
53-7061,2.52,2.4539999999999997,718727.5199999999
53-7062,2.075,2.086875,611203.9500000001
53-7063,2.3,2.2725,665569.7999999999
53-7064,2.75,2.64375,774301.5
53-7065,3.05,2.89125,846789.2999999999
53-7071,3.85,3.55125,1040090.1
53-7072,2.69,2.5942499999999997,759803.9399999998
53-7073,3.53,3.28725,962769.7799999999
53-7081,1.55,1.65375,484350.3
53-7121,2.82,2.7015,791215.32
