soc,physical_level,MET,E_human_J_per_h
17-3031,4.53,4.1122499999999995,1204395.7799999998
19-1011,4.48,4.071,1192314.48
19-1012,3.86,3.5595,1042506.36
19-1013,4.62,4.1865,1226142.1199999999
19-1021,4.67,4.22775,1238223.42
19-1022,4.36,3.972,1163319.36
19-1023,4.45,4.046250000000001,1185065.7000000002
19-1029,4.58,4.153499999999999,1216477.0799999998
19-1031,4.18,3.8234999999999997,1119826.68
19-1032,3.95,3.63375,1064252.7
19-1041,4.58,4.153499999999999,1216477.0799999998
19-1042,4.25,3.8812499999999996,1136740.5
19-2011,4.91,4.42575,1296213.6600000001
19-2012,4.57,4.14525,1214060.82
19-2021,4.79,4.32675,1267218.54
19-2031,3.82,3.5264999999999995,1032841.3199999998
19-2032,4.19,3.83175,1122242.9400000002
19-2041,4.41,4.013249999999999,1175400.66
19-2042,4.44,4.038,1182649.4400000002
19-2043,4.64,4.202999999999999,1230974.64
19-2099,4.8,4.334999999999999,1269634.7999999998
19-3011,4.6899999999999995,4.244249999999999,1243055.94
19-3022,4.76,4.302,1259969.76
19-3032,4.56,4.137,1211644.5599999998
19-3033,3.28,3.0809999999999995,902363.2799999998
19-3034,3.13,2.9572499999999997,866119.38
19-3039,4.125,3.7781249999999997,1106537.25
19-3041,4.37,3.98025,1165735.62
19-3051,4.08,3.7409999999999997,1095664.08
19-3091,4.35,3.9637499999999997,1160903.0999999999
19-3092,4.55,4.12875,1209228.3
19-3093,4.31,3.9307499999999993,1151238.0599999998
19-3094,4.2,3.84,1124659.2
19-3099,4.45,4.046250000000001,1185065.7000000002
19-4012,3.84,3.5429999999999997,1037673.84
19-4013,4.22,3.8564999999999996,1129491.72
19-4021,4.1,3.7574999999999994,1100496.5999999999
19-4031,4.14,3.7904999999999998,1110161.64
19-4042,3.85,3.55125,1040090.1
19-4043,4.14,3.7904999999999998,1110161.64
19-4051,3.69,3.41925,1001429.94
19-4061,4.73,4.27725,1252720.9800000002
19-4071,3.67,3.4027499999999997,996597.4199999998
19-4092,3.99,3.66675,1073917.74
19-4099,4.305,3.9266249999999996,1150029.93
19-5011,4.18,3.8234999999999997,1119826.68
19-5012,4.14,3.7904999999999998,1110161.64
21-1011,4.49,4.07925,1194730.74
21-1012,4.44,4.038,1182649.4400000002
21-1013,4.05,3.7162499999999996,1088415.3
21-1014,3.86,3.5595,1042506.36
21-1015,4.15,3.79875,1112577.9000000001
21-1021,4.41,4.013249999999999,1175400.66
21-1022,3.85,3.55125,1040090.1
21-1023,3.87,3.5677499999999998,1044922.6199999999
21-1091,4.19,3.83175,1122242.9400000002
21-1092,4.19,3.83175,1122242.9400000002
21-1093,3.99,3.66675,1073917.74
21-1094,4.4,4.005,1172984.4
21-2011,3.33,3.1222499999999997,914444.58
21-2021,3.94,3.6254999999999997,1061836.44
23-1011,4.0,3.675,1076334.0
23-1012,3.94,3.6254999999999997,1061836.44
23-1021,3.44,3.2129999999999996,941023.4399999998
23-1022,3.35,3.13875,919277.1
23-1023,3.55,3.3037499999999995,967602.2999999998
23-2011,4.38,3.9884999999999997,1168151.88
23-2093,4.54,4.1205,1206812.04
25-1011,4.13,3.78225,1107745.38
25-1021,4.65,4.21125,1233390.9
25-1022,4.02,3.6914999999999996,1081166.5199999998
25-1031,4.52,4.103999999999999,1201979.5199999998
25-1032,4.13,3.78225,1107745.38
25-1041,3.89,3.58425,1049755.1400000001
25-1042,4.59,4.16175,1218893.3399999999
25-1043,4.39,3.9967499999999996,1170568.14
25-1051,4.37,3.98025,1165735.62
25-1052,4.35,3.9637499999999997,1160903.0999999999
25-1053,4.28,3.906,1143989.28
25-1054,4.56,4.137,1211644.5599999998
25-1061,4.41,4.013249999999999,1175400.66
25-1062,4.04,3.7079999999999997,1085999.04
25-1063,4.25,3.8812499999999996,1136740.5
25-1064,4.74,4.2855,1255137.24
25-1065,4.14,3.7904999999999998,1110161.64
25-1066,4.35,3.9637499999999997,1160903.0999999999
25-1067,4.47,4.062749999999999,1189898.22
25-1071,4.44,4.038,1182649.4400000002
25-1072,4.58,4.153499999999999,1216477.0799999998
25-1081,4.09,3.7492499999999995,1098080.3399999999
25-1082,4.8,4.334999999999999,1269634.7999999998
25-1111,4.53,4.1122499999999995,1204395.7799999998
25-1112,3.72,3.444,1008678.72
25-1113,4.58,4.153499999999999,1216477.0799999998
25-1121,3.9,3.5925,1052171.4
25-1122,4.42,4.0215,1177816.92
25-1123,4.11,3.76575,1102912.86
25-1124,4.27,3.8977499999999994,1141573.0199999998
25-1125,3.85,3.55125,1040090.1
25-1126,4.06,3.7244999999999995,1090831.5599999998
25-1192,3.95,3.63375,1064252.7
25-1193,3.96,3.642,1066668.96
25-1194,3.55,3.3037499999999995,967602.2999999998
25-2011,2.27,2.24775,658321.02
25-2012,3.55,3.3037499999999995,967602.2999999998
25-2021,4.12,3.774,1105329.12
25-2022,3.87,3.5677499999999998,1044922.6199999999
