OCC_CODE,title_2024,H_info_rti,H_info_eloundou,job_zone,wage_median,z_H_info_rti,z_job_zone,z_log_wage,IRI_v2,IRI_v2_pct,IRI_v1,delta_emp_ann
11-1011,Chief Executives,1.460603705311765,0.8666666666666667,5.0,206420.0,2.385521026927295,1.7578538190812054,3.041059705773617,7.184434551782117,100.0,4.807084189016057,0.0057236038834962
11-2021,Marketing Managers,1.9753850431101188,0.9375,4.0,161030.0,3.2192234672332,0.8471236332085413,2.4179039977180627,6.484251098159804,99.8567335243553,3.7287616633666865,0.0786292560326211
15-2021,Mathematicians,1.475607258047306,0.0,5.0,121680.0,2.409819690477096,1.7578538190812054,1.7147621645807445,5.882435674139046,99.7134670487106,-2.093165152294485,-0.0333273190871926
11-2022,Sales Managers,1.7921796995566002,1.0,4.0,138060.0,2.9225174082084266,0.8471236332085413,2.0316917082599373,5.801332749676906,99.5702005730659,3.7445170518016617,0.0844035229537865
25-1063,"Economics Teachers, Postsecondary",1.330001600668501,0.853658536585366,5.0,119980.0,2.1740073504295125,1.7578538190812054,1.679455047204368,5.611316216715085,99.42693409742121,3.361817964966618,-0.0131522969753106
19-3094,Political Scientists,1.0777496767886685,0.9583333333333334,5.0,139380.0,1.765478468225057,1.7578538190812054,2.055570870127143,5.578903157433405,99.2836676217765,4.411147947612798,-0.0020046937099504
19-2011,Astronomers,1.1379539753623376,0.9375,5.0,132170.0,1.862980974536648,1.7578538190812054,1.922280586912067,5.543115380529921,99.14040114613181,4.143868438433355,-0.0550020843981609
25-1032,"Engineering Teachers, Postsecondary",1.404097070590929,0.8571428571428572,5.0,106120.0,2.294006988244935,1.7578538190812054,1.371406978987107,5.4232677863132475,98.99713467048711,3.0761792446458367,0.0203825895610074
19-3011,Economists,1.2501067070333718,0.8947368421052632,5.0,115440.0,2.044615387472069,1.7578538190812054,1.5826546161790953,5.3851238227323694,98.8538681948424,3.529211951247208,-0.0352397987809439
11-3031,Financial Managers,1.0921018081465173,1.0,4.333333333333333,161700.0,1.7887221370569608,1.1507003618327625,2.4283235014775797,5.367746000367303,98.71060171919771,4.444725573643526,0.0456734048541749
25-1065,"Political Science Teachers, Postsecondary",1.522308058225059,0.8292682926829269,5.0,94680.0,2.485452912223146,1.7578538190812054,1.085158092438759,5.32846482374311,98.56733524355302,2.6106555749256524,0.0174145575934352
19-3032,Industrial-Organizational Psychologists,1.290187969627161,0.9111111111111112,5.0,109840.0,2.1095280872562117,1.7578538190812054,1.4578686306472404,5.325250536984657,98.42406876790831,3.5097367959469974,0.10756634324829
19-2012,Physicists,0.6249030131332167,0.4545454545454546,5.0,166290.0,1.0320809247386913,1.7578538190812054,2.4985646142439317,5.288499358063829,98.28080229226362,1.614038591136711,0.0498800779545782
25-1112,"Law Teachers, Postsecondary",1.0365526932871785,0.875,5.0,126650.0,1.698758827949581,1.7578538190812054,1.8152228513020912,5.2718354983328775,98.13753581661892,3.6348430249302774,0.0710044268809755
11-3021,Computer and Information Systems Managers,1.1026258956798074,0.8787878787878788,4.0,171200.0,1.8057661843334645,0.8471236332085413,2.57158803510359,5.224477852645595,97.99426934097421,3.504839700307179,0.0828106776152295
11-9041,Architectural and Engineering Managers,0.7240344829388012,0.9482758620689656,4.5,167740.0,1.1926270483442842,1.3024887261448734,2.5203515525516647,5.015467327040822,97.85100286532952,4.355879083187156,0.0160431878394176
15-2031,Operations Research Analysts,1.3530953286155385,0.7419354838709677,5.0,91290.0,2.2114082737565885,1.7578538190812054,0.9936591942097733,4.962921287047568,97.70773638968481,1.9574772149042605,0.0157104266703453
11-3131,Training and Development Managers,1.4014318655833806,0.9090909090909092,4.0,127090.0,2.289690615922248,0.8471236332085413,1.8239259743404388,4.960740223471229,97.56446991404012,2.9520710591285626,0.0314556444139604
25-1021,"Computer Science Teachers, Postsecondary",1.246447390626363,0.8333333333333334,5.0,96690.0,2.0386890245789955,1.7578538190812054,1.1378749019654315,4.934417745625632,97.42120343839542,2.6895166236648844,0.0264840696657149
25-1054,"Physics Teachers, Postsecondary",1.1798180208668143,0.8837209302325582,5.0,97360.0,1.930780939949985,1.7578538190812054,1.155203915002696,4.843838674033886,97.27793696275072,3.0309126018252686,-0.0027729557206161
15-1221,Computer and Information Research Scientists,0.6054982438664918,0.6153846153846154,5.0,140910.0,1.0006543707761257,1.7578538190812054,2.082967622721442,4.841475812578773,97.134670487106,2.232875903562901,0.0456667282950444
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1.111566341735762,0.8043478260869565,5.0,100830.0,1.8202454809725985,1.7578538190812054,1.2430865494273313,4.821185849481135,96.99140401146131,2.6083084784807076,-0.0584148384053807
11-9033,"Education Administrators, Postsecondary",1.0591134390658674,0.975609756097561,5.0,103960.0,1.7352965720940314,1.7578538190812054,1.3198015617164993,4.812951952891736,96.84813753581662,3.7864916558555315,0.0401785077076832
19-3041,Sociologists,1.0926316948076475,0.8461538461538463,5.0,101690.0,1.7895803029810777,1.7578538190812054,1.2643995251426399,4.811833647204923,96.70487106017191,2.898496155127857,0.0232299735992875
17-2171,Petroleum Engineers,1.111827090604119,0.8333333333333334,4.0,141280.0,1.820667770888519,0.8471236332085413,2.0895483107166775,4.757339714813738,96.56160458452722,2.730459846543466,-0.1027433726131552
11-9032,"Education Administrators, Kindergarten through Secondary",1.0209814563333537,0.981818181818182,5.0,104070.0,1.6735407842992296,1.7578538190812054,1.3224554198524787,4.753850023232914,96.41833810888252,3.8290748975161484,0.0335446393230447
29-1151,Nurse Anesthetists,-0.1739821403255175,1.0,5.0,223210.0,-0.2617354066987113,1.7578538190812054,3.2373000438160076,4.7334184561985015,96.27507163323781,5.8608555732303955,0.0293483743836864
23-1011,Lawyers,0.420748276307324,1.0,5.0,151160.0,0.7014467509753296,1.7578538190812054,2.259175878003451,4.718476448059986,96.13180515759312,4.88273140741784,0.0261615516671638
25-1064,"Geography Teachers, Postsecondary",1.255432357448506,0.8181818181818182,5.0,86730.0,2.053240423815272,1.7578538190812054,0.8650707312803182,4.676164974176795,95.98853868194843,2.319265743187504,-0.0368784991005507
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.0107438840243128,0.825,5.0,101390.0,1.6569607562559465,1.7578538190812054,1.2569853069459838,4.6717998822831355,95.84527220630372,2.7550313382596894,0.0082124561529721
29-1221,"Pediatricians, General",-0.1463782195207336,1.0,5.0,210130.0,-0.21703010282078797,1.7578538190812054,3.0857619371191163,4.626585653379534,95.70200573065902,5.709317466533505,0.0763280579413474
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.2578562251625742,0.7777777777777778,5.0,84290.0,2.0571659437978727,1.7578538190812054,0.7934591371179781,4.608478899997056,95.55873925501433,1.9877962562457854,0.0151917341937286
15-2041,Statisticians,0.9275500004356334,0.5505263157894736,5.0,103300.0,1.5222259889408651,1.7578538190812054,1.3038192036337817,4.583899011655852,95.41547277936962,1.0365924431895732,-0.0528252353510855
25-1011,"Business Teachers, Postsecondary",0.990174799323387,0.8181818181818182,5.0,97270.0,1.6236485616387868,1.7578538190812054,1.1528830829982324,4.534385463718225,95.27220630372493,2.607078094905418,-0.0051529277133228
19-1021,Biochemists and Biophysicists,0.8908192508328667,0.8636363636363638,5.0,103650.0,1.4627395364811473,1.7578538190812054,1.3123073717916256,4.5329007273539785,95.12893982808023,3.0588425130756125,0.0193866614653881
19-1042,"Medical Scientists, Except Epidemiologists",0.9150927279729127,0.8181818181818182,5.0,100590.0,1.5020510958568545,1.7578538190812054,1.2371062930528602,4.49701120799092,94.98567335243553,2.691301304960046,0.0420967260410205
25-1061,"Anthropology and Archeology Teachers, Postsecondary",0.9752269785882776,0.7142857142857143,5.0,95770.0,1.5994401575862731,1.7578538190812054,1.1138831699975282,4.471177146665007,94.84240687679083,1.8998721719005975,-0.0210376814226193
25-1123,"English Language and Literature Teachers, Postsecondary",1.2757158769443022,0.75,5.0,78270.0,2.08609013778113,1.7578538190812054,0.6075107580461948,4.451454714908531,94.69914040114614,1.6231955758881789,-0.0258578073899627
25-1082,"Library Science Teachers, Postsecondary",1.2614689709599287,0.7872340425531915,5.0,78630.0,2.0630168843163093,1.7578538190812054,0.619026482545973,4.4398971859434875,94.55587392550143,1.8741814063668263,-0.0135754615579578
19-1041,Epidemiologists,1.1429246007209592,1.0,5.0,83980.0,1.8710310381016029,1.7578538190812054,0.7842128699629161,4.413097727145725,94.41260744985674,3.4077683993773045,0.0911219233835538
19-2043,Hydrologists,0.9900318970425712,0.875,5.0,92060.0,1.6234171274909386,1.7578538190812054,1.0147368986865941,4.3960078452587386,94.26934097421203,2.8343570723147806,-0.0234330276534261
25-1053,"Environmental Science Teachers, Postsecondary",1.0639062140757032,0.7391304347826086,5.0,87710.0,1.7430586021602854,1.7578538190812054,0.8932672514485898,4.394179672690081,94.12607449856733,1.8390446470482953,0.0330548503798091
17-2061,Computer Hardware Engineers,0.7351086954134634,0.4545454545454546,4.0,155020.0,1.2105620379926627,0.8471236332085413,2.3224526684917612,4.380138339692966,93.98280802292264,0.5271964595118765,0.0220738631898635
25-1031,"Architecture Teachers, Postsecondary",0.8225113725713883,0.8048780487804879,5.0,101480.0,1.352113061476685,1.7578538190812054,1.2592118733701323,4.369178753928023,93.83954154727793,2.627843920581669,0.0610919723094913
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.8532644916585406,0.8888888888888888,5.0,99240.0,1.4019185780084829,1.7578538190812054,1.2031991940477826,4.362971591137471,93.69627507163324,3.11214551831888,-0.050710824594239
29-1216,General Internal Medicine Physicians,-0.5022006541832211,1.0,5.0,236350.0,-0.7932942567670717,1.7578538190812054,3.380843197556126,4.34540275987026,93.55300859598854,6.004398726970514,0.0835789334115073
19-3051,Urban and Regional Planners,1.0954283501370727,1.0,5.0,83720.0,1.7941095626912456,1.7578538190812054,0.7764315803375241,4.328394962109975,93.40974212034384,3.3999871097519128,0.022226293233867
11-3061,Purchasing Managers,0.856720274246521,0.7714285714285715,4.0,139510.0,1.407515312321129,0.8471236332085413,2.057910361179422,4.3125493067090925,93.26647564469914,2.3006824827120913,0.024157925128398
15-2011,Actuaries,1.0126823199011357,1.0,4.0,125770.0,1.6601001061162104,0.8471236332085413,1.7977255280075373,4.304949267332289,93.12320916905445,3.5105508715492615,0.0494818620727337
27-1011,Art Directors,1.190704170118182,0.9310344827586208,4.0,111040.0,1.9484113560703817,0.8471236332085413,1.4851358010560505,4.280670790334973,92.97994269340974,2.7544106034743536,0.0326738529355512
11-3121,Human Resources Managers,0.8056859632193238,0.96,4.0,140030.0,1.3248638513636009,0.8471236332085413,2.067246575887797,4.239234060459939,92.83667621776505,3.5228126055779363,0.06842323586674
25-1067,"Sociology Teachers, Postsecondary",1.0554852754254125,0.8636363636363638,5.0,82540.0,1.7294206619574808,1.7578538190812054,0.7408100584351461,4.228084539473833,92.69340974212035,2.487345199719133,-0.0221906758872525
25-1121,"Art, Drama, and Music Teachers, Postsecondary",1.076869812102321,0.875,5.0,80190.0,1.7640535033277587,1.7578538190812054,0.6683261876261442,4.1902335100351085,92.55014326647564,2.4879463612543304,0.0080142480820248
19-1029,"Biological Scientists, All Other",0.8289358860846554,0.7474602974794827,5.0,93330.0,1.3625177366280734,1.7578538190812054,1.0491192170421644,4.169490772751443,92.40687679083095,2.048469981688763,0.0828805162021573
25-1066,"Psychology Teachers, Postsecondary",1.0547225734929917,0.84,5.0,80330.0,1.7281854453410341,1.7578538190812054,0.6727035242094221,4.1587427886316615,92.26361031518626,2.267221798217472,0.0211266873543247
11-9121,Natural Sciences Managers,0.2517433033154894,0.8884479353268109,4.333333333333333,161180.0,0.4277385800269913,1.1507003618327625,2.4202404839302885,3.9986794257900424,92.12034383954155,3.719197365682428,0.0829515177110808
19-1011,Animal Scientists,0.9733099113486424,0.875,5.0,79120.0,1.5963354148177225,1.7578538190812054,0.6346162291387742,3.9888054630377017,91.97707736389685,2.454236402766961,-0.0169198328451043
21-2011,Clergy,1.374943755386805,0.8095238095238095,5.0,60820.0,2.2467923978080804,1.7578538190812054,-0.025490732370486262,3.9791554845188,91.83381088825216,1.3730204453696895,0.0177840835316569
25-1081,"Education Teachers, Postsecondary",1.0935313790871992,0.8333333333333334,5.0,72090.0,1.7910373662510384,1.7578538190812054,0.4011097383000676,3.9500009236323117,91.69054441260745,1.9527514599995204,-0.0073167289689435
25-1022,"Mathematical Science Teachers, Postsecondary",0.93583844299054,0.7027027027027026,5.0,79350.0,1.5356493480974236,1.7578538190812054,0.6419005996919862,3.935403766870615,91.54727793696274,1.3533936612905422,-0.0092811472785375
19-3099,"Social Scientists and Related Workers, All Other",1.1330988286404238,0.9069767441860466,4.0,100340.0,1.8551179317786988,0.8471236332085413,1.2308616675901078,3.9331032325773476,91.40401146131805,2.34540953705838,0.0187548467483549
25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.9700229683184424,0.7333333333333334,5.0,77010.0,1.5910121207815704,1.7578538190812054,0.5667844068675647,3.9156503467303407,91.26074498567334,1.4752778439380556,-0.0316241576655035
19-2021,Atmospheric and Space Scientists,1.1636506310707635,0.8260869565217392,4.0,97450.0,1.9045974104848509,0.8471236332085413,1.1575226026109808,3.909243646304373,91.11747851002865,1.7518291902762508,-0.0112289088827518
11-2011,Advertising and Promotions Managers,0.7533566885065482,1.0,4.0,126960.0,1.2401151613390833,0.8471236332085413,1.8213577371065766,3.9085965316542013,90.97421203438395,3.534183080648301,-0.0341231729517823
25-1042,"Biological Science Teachers, Postsecondary",0.8402009904024512,0.8571428571428572,5.0,83460.0,1.3807618808315407,1.7578538190812054,0.768626087595021,3.9072417875077674,90.83094555873924,2.4733983532537502,0.0006020247429878
11-3071,"Transportation, Storage, and Distribution Managers",1.090570484882885,0.9821428571428572,4.0,102010.0,1.7862421171960088,0.8471236332085413,1.2722839542689057,3.905649704673456,90.68767908309455,2.8702613898411733,0.1003600580498524
25-1052,"Chemistry Teachers, Postsecondary",0.787763257941519,0.8235294117647058,5.0,86220.0,1.2958375405208358,1.7578538190812054,0.8502707278651024,3.9039620874671437,90.54441260744986,2.338858696169558,-0.009437449295694
25-1126,"Philosophy and Religion Teachers, Postsecondary",0.9350900724524176,0.75,5.0,78050.0,1.5344373415655745,1.7578538190812054,0.6004472675001971,3.892738428146977,90.40114613180515,1.6161320853421812,-0.0236558249467695
25-1071,"Health Specialties Teachers, Postsecondary",0.4581238686955672,0.875,5.0,105620.0,0.7619775439431256,1.7578538190812054,1.3595553281043573,3.8793866911286883,90.25787965616045,3.179175501732544,0.0261335657602648
11-3111,Compensation and Benefits Managers,0.5705384544589693,0.868421052631579,4.0,140360.0,0.9440360367349472,0.8471236332085413,2.073153515987123,3.8643131859306115,90.11461318051576,2.939731116596003,0.0349804194947771
